City,Country,Max Temp (F),Humidity,Cloudiness,Wind Speed,Lat,Lng,Date
paamiut,GL,40.1,78,0,8.99,61.99,-49.67,1592940487
georgetown,MY,80.312,88,20,1.5,5.41,100.34,1592940234
karratha,AU,67.28,46,0,1.84,-20.74,116.85,1592940229
carire,BR,85.406,54,60,3.15,-3.95,-40.47,1592940510
lufilufi,WS,78.386,88,40,7.43,-13.87,-171.6,1592940510
ukiah,US,90.69800000000001,35,1,2.1,39.15,-123.21,1592940304
druzhba,UA,58.459999999999994,96,42,4.25,52.04,33.95,1592940511
sao filipe,CV,80.438,60,0,7.45,14.9,-24.5,1592940177
leningradskiy,RU,32.324,96,100,6.2,69.38,178.42,1592940221
codrington,AU,50.252,92,0,1.64,-38.27,141.97,1592939967
vaini,TO,68.0,100,20,1.5,-21.2,-175.2,1592940511
hammerfest,NO,53.6,81,75,2.1,70.66,23.68,1592940511
madras,IN,80.6,78,40,4.6,13.09,80.28,1592940330
yulara,AU,35.6,59,0,2.1,-25.24,130.99,1592940511
airai,TL,55.525999999999996,100,51,1.59,-8.93,125.41,1592940511
kloulklubed,PW,77.0,94,75,3.33,7.04,134.26,1592940245
khurba,RU,48.848,87,100,3.74,50.41,136.88,1592940511
kyshtovka,RU,53.294,94,100,4.52,56.55,76.63,1592940511
terra roxa,BR,71.996,77,66,0.89,-23.86,-50.03,1592940512
helmsdale,GB,65.624,60,75,7.7,58.12,-3.65,1592940512
atuona,PF,79.412,72,4,7.42,-9.8,-139.03,1592940512
kaitangata,NZ,48.992,84,35,1.45,-46.28,169.85,1592940512
sandnessjoen,NO,60.494,87,75,4.6,66.02,12.63,1592940512
punta arenas,CL,39.092,60,0,8.7,-53.15,-70.92,1592940512
yellowknife,CA,60.8,59,75,7.2,62.46,-114.35,1592940512
saskylakh,RU,74.696,43,28,2.78,71.92,114.08,1592940512
isla mujeres,MX,86.27,70,90,3.1,21.23,-86.73,1592940512
bone,DE,70.952,46,0,2.32,51.97,12.14,1592940489
cockburn town,TC,87.8,66,40,4.6,21.46,-71.14,1592940512
cape town,ZA,56.3,87,0,4.1,-33.93,18.42,1592940512
khislavichi,RU,61.843999999999994,92,47,2.62,54.19,32.16,1592940513
ushuaia,AR,33.8,86,75,8.2,-54.8,-68.3,1592940513
kita,ML,92.192,39,100,4.63,13.03,-9.49,1592940513
taoudenni,ML,105.206,7,0,5.19,22.68,-3.98,1592940513
kodiak,US,50.0,87,90,3.1,57.79,-152.41,1592940513
saldanha,ZA,53.6,81,0,1.5,-33.01,17.94,1592940513
hobart,AU,51.854,93,90,3.6,-42.88,147.33,1592940360
kaspiysk,RU,71.402,83,81,3.0,42.88,47.64,1592940513
barrow,US,35.6,80,90,3.1,71.29,-156.79,1592940513
basmat,IN,81.968,72,6,1.22,19.32,77.17,1592940513
hualmay,PE,67.496,68,14,5.12,-11.1,-77.61,1592940513
port alfred,ZA,62.00600000000001,54,0,0.45,-33.59,26.89,1592940514
tambacounda,SN,95.0,30,70,2.1,13.75,-13.76,1592940514
faanui,PF,78.89,78,39,7.71,-16.48,-151.75,1592940514
torrington,US,84.074,66,11,1.34,41.8,-73.12,1592940514
esperance,AU,50.0,87,0,6.2,-33.87,121.9,1592940380
east london,ZA,69.404,34,0,2.49,-33.02,27.91,1592940048
saint-philippe,RE,62.078,78,2,6.2,-21.36,55.77,1592939959
camargo,MX,99.104,9,26,3.98,27.67,-105.17,1592940514
kapaa,US,79.682,74,40,4.6,22.08,-159.32,1592940382
touros,BR,82.4,65,40,3.1,-5.2,-35.46,1592940309
port elizabeth,ZA,50.0,81,0,2.1,-33.92,25.57,1592940514
anadyr,RU,50.0,81,75,3.0,64.75,177.48,1592940514
havelock,US,81.626,74,90,4.6,34.88,-76.9,1592940016
mega,ET,63.392,78,72,3.01,4.05,38.3,1592940514
sisimiut,GL,43.268,64,83,3.79,66.94,-53.67,1592940514
dzilam gonzalez,MX,93.99199999999999,55,100,3.53,21.28,-88.93,1592940514
bose,IT,76.334,65,1,0.42,45.46,8.01,1592940515
praia da vitoria,PT,60.8,100,75,6.5,38.73,-27.07,1592940515
puerto leguizamo,CO,85.91,64,53,0.29,-0.19,-74.78,1592940450
tevaitoa,PF,79.376,75,0,7.63,-16.78,-151.5,1592940515
avarua,CK,77.0,73,89,3.1,-21.21,-159.78,1592940441
ambulu,ID,74.21,86,100,1.71,-8.35,113.61,1592940515
avera,US,87.872,52,75,6.2,33.19,-82.53,1592940515
butaritari,KI,83.048,75,33,7.31,3.07,172.79,1592940515
puerto ayora,EC,73.79599999999999,69,40,8.2,-0.74,-90.35,1592940515
ilulissat,GL,39.2,80,75,2.1,69.22,-51.1,1592940515
bankura,IN,84.47,76,100,5.63,23.25,87.07,1592940515
hambantota,LK,80.6,88,20,1.0,6.12,81.12,1592940515
cidreira,BR,72.464,67,0,3.61,-30.18,-50.21,1592940132
cabo san lucas,MX,87.638,40,20,2.6,22.89,-109.91,1592940417
siquirres,CR,78.962,83,90,3.1,10.1,-83.51,1592940516
jamestown,US,75.2,73,90,5.7,42.1,-79.24,1592940516
bollnas,SE,72.392,50,57,1.59,61.35,16.39,1592940516
ponta grossa,BR,69.72800000000001,65,0,3.64,-25.09,-50.16,1592940516
ust-ilimsk,RU,58.748000000000005,73,5,0.33,58.0,102.66,1592940516
bluff,NZ,39.002,83,67,1.34,-46.6,168.33,1592940516
narsaq,GL,62.6,45,40,5.7,60.92,-46.05,1592940516
gulu,UG,65.60600000000001,86,100,1.16,2.77,32.3,1592940516
byron bay,AU,47.984,66,0,4.1,-28.65,153.62,1592940516
puerto escondido,MX,84.2,66,90,3.1,15.85,-97.07,1592940431
chuy,UY,69.206,85,85,3.71,-33.7,-53.46,1592940516
san quintin,MX,70.538,69,30,6.23,30.48,-115.95,1592940516
castro,BR,68.684,65,0,3.09,-24.79,-50.01,1592940517
fukue,JP,75.506,82,73,4.2,32.69,128.84,1592940517
arraial do cabo,BR,77.738,61,20,5.1,-22.97,-42.03,1592940517
qaanaaq,GL,38.408,83,0,0.5,77.48,-69.36,1592940517
balkanabat,TM,87.422,16,0,2.09,39.51,54.37,1592940517
cumberland,US,87.71000000000001,52,20,5.7,35.05,-78.87,1592940517
muhos,FI,62.654,63,0,2.6,64.81,25.99,1592940517
acapulco,MX,89.6,62,75,5.1,16.86,-99.89,1592940305
ashqelon,IL,75.092,69,20,3.6,31.67,34.57,1592940254
abu samrah,SY,71.312,46,0,3.93,35.3,37.18,1592940517
tilichiki,RU,58.172,72,1,2.26,60.47,166.1,1592940517
provideniya,RU,46.4,75,22,4.0,64.38,-173.3,1592940518
talnakh,RU,53.6,76,0,4.0,69.49,88.4,1592939922
nhulunbuy,AU,73.4,83,0,3.1,-12.23,136.77,1592940316
tiksi,RU,52.34,68,30,2.09,71.69,128.87,1592940518
shanghai,CN,76.334,100,75,1.0,31.22,121.46,1592940239
khatanga,RU,66.758,68,70,3.54,71.97,102.5,1592940518
port blair,IN,82.31,81,100,3.76,11.67,92.75,1592940247
katsuura,JP,70.46600000000001,100,75,4.1,35.13,140.3,1592940518
roald,NO,56.821999999999996,93,75,1.5,62.58,6.13,1592940518
port lincoln,AU,50.054,73,0,2.82,-34.73,135.87,1592940344
berbera,SO,90.446,45,0,2.37,10.44,45.01,1592940518
dangriga,BZ,87.94399999999999,74,75,6.2,16.97,-88.23,1592940518
hauterive,FR,76.766,50,83,2.6,46.09,3.45,1592940519
brae,GB,57.2,76,15,8.7,60.4,-1.35,1592940519
palmer,US,85.76599999999999,59,57,1.79,42.16,-72.33,1592940508
bethel,US,84.128,54,20,4.1,41.37,-73.41,1592939931
hamilton,US,78.782,57,75,4.1,39.18,-84.53,1592939977
pevek,RU,31.892,98,100,4.43,69.7,170.31,1592939979
guerrero negro,MX,74.12,55,24,5.65,27.98,-114.06,1592940519
taguatinga,BR,89.474,36,2,2.81,-12.39,-46.57,1592940519
cairns,AU,60.476,82,4,4.6,-16.92,145.77,1592940519
cherskiy,RU,45.338,58,61,3.68,68.75,161.3,1592940193
meulaboh,ID,75.362,79,90,1.53,4.14,96.13,1592940099
los llanos de aridane,ES,70.718,78,75,6.2,28.66,-17.92,1592940519
skagen,DK,62.995999999999995,88,0,4.02,57.72,10.58,1592940519
mitsamiouli,KM,79.178,75,0,4.78,-11.38,43.28,1592940519
sitka,US,53.6,81,75,3.1,57.05,-135.33,1592940110
iqaluit,CA,41.0,93,90,6.2,63.75,-68.51,1592940284
lavrentiya,RU,39.776,71,100,4.03,65.58,-171.0,1592940520
mizdah,LY,73.886,49,0,6.89,31.45,12.98,1592940520
brodokalmak,RU,57.2,58,40,4.0,55.57,62.08,1592940520
glens falls,US,87.74600000000001,43,40,6.2,43.31,-73.64,1592940520
vila velha,BR,76.622,57,100,4.1,-20.33,-40.29,1592940520
mar del plata,AR,56.768,71,20,3.6,-38.0,-57.56,1592940520
pangnirtung,CA,41.0,93,90,2.1,66.15,-65.71,1592940520
aasiaat,GL,38.39,83,100,2.98,68.71,-52.87,1592940336
san jeronimo,PE,63.35600000000001,31,88,0.19,-11.95,-75.28,1592940520
sete,FR,72.896,69,0,1.5,43.4,3.7,1592940520
stokmarknes,NO,58.082,83,99,3.58,68.56,14.91,1592940520
salalah,OM,82.4,94,20,3.1,17.02,54.09,1592940520
karasjok,NO,53.6,66,94,1.0,69.47,25.51,1592940520
hue,VN,84.2,74,20,2.1,16.47,107.6,1592940521
kukuna,SL,80.402,86,75,2.8,9.4,-12.67,1592940521
clyde river,CA,41.0,86,90,4.1,70.47,-68.59,1592940271
oranjestad,AW,87.8,70,40,8.7,12.52,-70.03,1592940382
wenling,CN,78.656,100,99,4.51,28.37,121.36,1592940521
katobu,ID,72.28399999999999,90,0,1.75,-4.94,122.53,1592940521
umea,SE,61.898,77,26,3.6,63.83,20.26,1592940521
una,IN,84.578,80,84,3.51,20.82,71.03,1592940521
lorengau,PG,80.69,79,77,0.82,-2.02,147.27,1592940521
vila franca do campo,PT,68.0,88,75,5.1,37.72,-25.43,1592940514
carnarvon,AU,57.2,93,0,3.6,-24.87,113.63,1592940521
thompson,CA,78.8,31,40,2.1,55.74,-97.86,1592940521
ouallam,NE,101.876,17,33,1.56,14.32,2.09,1592940521
ocos,GT,88.61,70,75,5.1,14.51,-92.19,1592940522
chokurdakh,RU,65.44399999999999,34,6,2.61,70.63,147.92,1592940522
hithadhoo,MV,84.11,76,100,3.97,-0.6,73.08,1592940522
ketchikan,US,55.4,87,90,5.1,55.34,-131.65,1592940522
kibala,TD,89.6,66,36,1.35,9.11,18.35,1592940522
ha tinh,VN,84.18199999999999,68,100,2.0,18.33,105.9,1592940522
padang,ID,77.684,79,100,3.41,-0.95,100.35,1592940522
basoko,CD,76.19,82,95,0.99,1.24,23.62,1592940522
snasa,NO,64.4,68,75,3.1,64.25,12.38,1592940522
grindavik,IS,50.0,87,90,3.6,63.84,-22.43,1592940323
hay river,CA,73.4,31,75,5.1,60.82,-115.8,1592940522
gravelbourg,CA,79.88,37,97,2.42,49.88,-106.55,1592940522
amambai,BR,81.266,44,0,5.19,-23.1,-55.23,1592940522
bredasdorp,ZA,50.0,93,30,1.47,-34.53,20.04,1592939975
andradina,BR,80.654,30,100,3.77,-20.9,-51.38,1592940425
sao joao da barra,BR,77.018,57,100,5.1,-21.64,-41.05,1592940522
hasaki,JP,68.0,100,75,3.1,35.73,140.83,1592940522
jalu,LY,81.71600000000001,33,0,7.81,29.03,21.55,1592940311
lebu,CL,50.09,77,100,3.54,-37.62,-73.65,1592940199
keti bandar,PK,87.998,77,0,3.1,24.14,67.45,1592940243
sioux lookout,CA,68.0,49,75,4.6,50.1,-91.92,1592940523
ponta do sol,PT,68.324,68,40,3.1,32.67,-17.1,1592940523
cururupu,BR,87.36800000000001,56,100,2.42,-1.83,-44.87,1592940523
tuktoyaktuk,CA,37.4,93,90,8.7,69.45,-133.04,1592940523
chavantes,BR,73.328,64,100,2.38,-23.04,-49.71,1592940523
yenagoa,NG,76.47800000000001,92,100,1.8,4.92,6.26,1592940523
oistins,BB,86.0,70,40,10.3,13.07,-59.53,1592940523
sorland,NO,57.2,87,100,3.1,67.67,12.69,1592940523
saint-leu,RE,61.519999999999996,78,1,6.2,-21.15,55.28,1592940523
cabedelo,BR,82.4,65,20,6.7,-6.98,-34.83,1592940523
sola,VU,81.158,80,0,2.75,-13.88,167.55,1592940523
bastos,BR,78.314,41,32,3.9,-21.92,-50.73,1592940524
jiuquan,CN,63.266000000000005,26,0,1.32,39.74,98.52,1592940524
rocha,UY,69.782,90,100,3.48,-34.48,-54.33,1592940524
abilene,US,82.04,54,1,4.1,32.45,-99.73,1592940524
senneterre,CA,66.2,93,90,2.02,48.38,-77.23,1592940524
labuhan,ID,77.018,84,0,2.36,-6.88,112.21,1592940286
nagapattinam,IN,84.884,73,100,4.43,10.77,79.83,1592940524
bama,NG,94.73,28,0,2.33,11.52,13.69,1592940524
dawlatabad,AF,86.23400000000001,19,0,3.2,36.41,64.91,1592940233
arlit,NE,99.96799999999999,8,1,2.71,18.74,7.39,1592940319
zanjan,IR,62.942,47,0,3.82,36.67,48.48,1592940524
mason city,US,72.5,60,90,6.7,43.15,-93.2,1592940524
pedernales,DO,91.4,63,20,7.7,18.04,-71.74,1592940525
bathsheba,BB,86.0,70,40,10.3,13.22,-59.52,1592940525
sovetskaya gavan,RU,47.012,95,100,1.63,48.97,140.29,1592940525
asuncion,PY,89.6,40,0,10.3,-25.3,-57.64,1592940319
naze,JP,77.0,94,90,3.1,28.37,129.48,1592940054
saint anthony,US,74.696,38,75,6.7,45.02,-93.22,1592939965
shitkino,RU,61.304,76,36,0.82,56.37,98.35,1592940525
nome,US,48.668,46,1,5.7,64.5,-165.41,1592940046
barmer,IN,91.724,48,100,7.69,25.75,71.38,1592940525
mount isa,AU,44.6,52,0,3.1,-20.73,139.5,1592940525
neunkirchen,DE,73.886,40,0,3.6,49.35,7.18,1592940525
ahipara,NZ,59.251999999999995,89,100,5.73,-35.17,173.17,1592940525
college,US,48.992,100,90,2.6,64.86,-147.8,1592939989
tommot,RU,51.494,80,6,0.99,58.96,126.29,1592940526
kurdzhinovo,RU,61.772,85,0,2.54,43.99,40.96,1592940526
fairview,US,86.36,54,1,2.6,40.81,-74.0,1592940299
coquimbo,CL,57.2,87,90,2.6,-29.95,-71.34,1592940526
zhigansk,RU,64.85,52,70,2.11,66.77,123.37,1592940465
riberalta,BO,93.398,39,61,1.93,-10.98,-66.1,1592940526
beyneu,KZ,82.436,16,0,5.25,45.32,55.2,1592940526
sanghar,PK,89.6,66,0,3.1,26.05,68.95,1592940526
new richmond,US,71.906,43,75,4.6,45.12,-92.54,1592940526
rawson,AR,54.284,41,60,4.34,-43.3,-65.1,1592940526
tevriz,RU,46.004,92,0,0.8,57.51,72.4,1592940526
kabare,CD,61.34,81,60,0.9,-2.47,28.82,1592940527
nizhniy kuranakh,RU,52.214,70,26,1.59,58.84,125.49,1592940527
takoradi,GH,78.008,86,65,3.98,4.88,-1.76,1592940527
emba,KZ,66.47,31,0,4.86,48.83,58.14,1592940527
arman,RU,47.768,85,7,0.94,59.7,150.17,1592940527
sergeyevka,KZ,50.647999999999996,78,42,2.68,53.88,67.42,1592940527
longyearbyen,SJ,44.6,75,94,2.6,78.22,15.64,1592940527
seddon,AU,52.61,100,90,2.1,-37.81,144.89,1592940527
ulaanbaatar,MN,51.8,81,40,2.0,47.91,106.88,1592940527
bengkulu,ID,74.768,89,99,3.53,-3.8,102.27,1592940124
mahebourg,MU,71.6,83,40,2.6,-20.41,57.7,1592940527
tucurui,BR,86.792,53,0,1.94,-3.77,-49.67,1592940527
alofi,NU,71.6,100,28,0.5,-19.06,-169.92,1592940467
nikel,RU,50.0,66,30,4.1,69.41,30.22,1592940528
tabou,CI,77.09,81,68,3.76,4.42,-7.35,1592940241
tamiahua,MX,89.384,65,99,3.9,21.27,-97.45,1592940528
huarmey,PE,68.738,66,50,5.55,-10.07,-78.15,1592940528
pochutla,MX,87.8,62,90,3.27,15.74,-96.47,1592940528
lesnoye,RU,60.440000000000005,61,0,2.25,58.28,35.52,1592940528
yeppoon,AU,41.0,93,0,2.34,-23.13,150.73,1592940528
akyab,MM,83.462,85,87,3.57,20.15,92.9,1592940528
teacapan,MX,88.178,52,0,5.23,22.55,-105.75,1592940528
farmington,US,91.4,9,1,4.6,36.73,-108.22,1592940528
taltal,CL,62.114,65,100,2.29,-25.4,-70.48,1592940528
souillac,MU,71.6,83,40,2.6,-20.52,57.52,1592940528
bambous virieux,MU,69.908,83,40,2.6,-20.34,57.76,1592939985
severo-kurilsk,RU,45.806,86,38,4.76,50.68,156.12,1592940227
predivinsk,RU,59.251999999999995,71,2,1.03,57.07,93.44,1592940529
klaksvik,FO,51.8,87,0,7.7,62.23,-6.59,1592940529
ampanihy,MG,60.728,90,15,4.03,-24.7,44.75,1592940529
arrifes,PT,68.0,88,75,5.1,37.77,-25.7,1592940529
biak,ID,77.0,82,98,3.2,-0.91,122.88,1592940529
russell,US,87.134,49,75,5.1,32.35,-85.2,1592940529
matara,LK,79.484,87,100,3.06,5.95,80.54,1592940529
waddan,LY,82.724,22,0,5.6,29.16,16.14,1592940529
luganville,VU,73.4,100,75,0.76,-15.53,167.17,1592940529
namatanai,PG,80.33,79,14,2.59,-3.67,152.43,1592940529
manali,IN,80.6,78,40,4.6,13.17,80.27,1592940529
thinadhoo,MV,84.002,77,100,4.85,0.53,72.93,1592940530
ola,RU,46.616,89,78,1.0,59.58,151.28,1592940530
placerville,US,89.816,38,1,2.6,38.73,-120.8,1592940530
yinchuan,CN,73.004,27,15,3.04,38.47,106.27,1592940530
hatta,IN,85.244,65,100,3.82,24.12,79.6,1592940530
nishihara,JP,79.43,94,90,2.6,26.18,127.76,1592940530
bilibino,RU,47.21,54,100,1.87,68.05,166.44,1592940530
barra do garcas,BR,89.6,29,39,1.0,-15.89,-52.26,1592940530
praya,CV,80.6,65,0,10.3,14.92,-23.51,1592940406
aykhal,RU,62.6,51,9,3.0,66.0,111.5,1592940249
kruisfontein,ZA,53.366,69,0,2.08,-34.0,24.73,1592940530
yidu,CN,77.0,89,100,1.5,24.16,115.13,1592940530
lady frere,ZA,50.252,43,0,3.68,-31.7,27.23,1592940531
balassagyarmat,HU,68.324,45,38,5.7,48.07,19.3,1592940531
eureka,US,65.75,14,1,2.24,40.8,-124.16,1592940008
san rafael,AR,46.742,72,83,1.58,-34.62,-68.33,1592940531
daye,CN,74.462,91,100,1.55,30.08,114.95,1592940531
toledo,ES,93.866,15,2,2.6,39.83,-4.0,1592940531
egvekinot,RU,36.32,93,100,1.01,66.32,-179.17,1592940531
baruun-urt,MN,58.874,80,100,9.37,46.68,113.28,1592940531
koniz,CH,73.67,47,0,2.1,46.92,7.41,1592940531
emerald,AU,46.4,65,0,2.1,-23.53,148.17,1592940531
tecpan,GT,70.286,57,40,6.2,14.76,-90.99,1592940475
salta,AR,86.0,13,56,2.1,-24.79,-65.41,1592940269
de aar,ZA,49.55,44,0,2.16,-30.65,24.01,1592940531
banjar,ID,80.6,94,75,2.6,-8.19,114.97,1592940531
gallup,US,89.99600000000001,10,1,1.5,35.53,-108.74,1592940532
pemangkat,ID,77.414,87,100,1.6,1.17,108.97,1592940364
itarema,BR,79.934,66,62,6.51,-2.92,-39.92,1592940532
tasiilaq,GL,48.2,66,75,7.7,65.61,-37.64,1592940532
fort nelson,CA,69.8,28,40,3.6,58.81,-122.7,1592940532
mount gambier,AU,51.8,93,90,2.1,-37.83,140.77,1592940532
la sarre,CA,66.38,83,100,2.26,48.8,-79.2,1592940532
sandakan,MY,80.312,88,20,1.0,5.84,118.12,1592940532
dalvik,IS,57.2,58,75,6.7,65.97,-18.53,1592940532
agirish,RU,44.635999999999996,92,0,1.57,61.92,63.02,1592940532
korla,CN,82.472,16,100,9.28,41.76,86.15,1592940423
asfi,MA,70.538,86,56,3.42,32.3,-9.24,1592940533
klyuchi,RU,64.364,56,100,3.3,52.27,79.17,1592940533
komsomolskiy,UZ,80.6,28,100,2.1,40.43,71.72,1592940533
san patricio,MX,91.4,70,20,7.7,19.22,-104.7,1592940533
yar-sale,RU,44.239999999999995,71,48,3.23,66.83,70.83,1592940533
bonavista,CA,64.886,76,23,7.59,48.65,-53.11,1592940533
carazinho,BR,71.6,72,5,5.09,-28.28,-52.79,1592940533
jitra,MY,79.39399999999999,100,20,1.0,6.27,100.42,1592940533
tarnogskiy gorodok,RU,52.412,66,0,2.19,60.5,43.58,1592940533
havre-saint-pierre,CA,75.2,69,1,2.6,50.23,-63.6,1592940533
rjukan,NO,57.992000000000004,73,35,3.58,59.88,8.59,1592940533
auki,SB,77.288,85,0,1.93,-8.77,160.7,1592940534
yarke pole,UA,71.744,79,100,1.39,45.61,34.32,1592940534
kahului,US,78.548,54,40,6.2,20.89,-156.47,1592940534
mogocha,RU,49.442,92,70,0.97,53.73,119.77,1592940534
ancud,CL,43.808,87,75,2.6,-41.87,-73.82,1592939973
olafsvik,IS,50.9,72,100,3.42,64.89,-23.71,1592940171
cubuk,TR,65.156,68,40,3.1,40.24,33.03,1592940389
shakawe,BW,57.668,35,0,2.32,-18.37,21.85,1592940297
shelburne,CA,68.342,100,90,3.6,44.08,-80.2,1592940534
lagoa,PT,61.483999999999995,68,55,6.5,39.05,-27.98,1592940534
havoysund,NO,49.01,87,20,2.1,71.0,24.66,1592940534
pasichna,UA,62.6,100,75,3.0,48.57,24.43,1592940534
liuhe,CN,62.059999999999995,92,100,2.17,42.24,125.72,1592940534
itoman,JP,79.52,94,75,2.1,26.12,127.67,1592940327
shushenskoye,RU,51.8,100,0,1.19,53.33,91.94,1592940535
baft,IR,78.08,18,75,2.74,29.23,56.61,1592940535
pandan,PH,79.97,84,100,2.16,14.05,124.17,1592940535
vao,NC,72.392,77,0,4.5,-22.67,167.48,1592940535
chumikan,RU,39.776,96,100,3.67,54.72,135.31,1592940335
saint-joseph,RE,63.68,78,0,6.2,-21.37,55.62,1592940535
grande prairie,CA,69.8,40,75,9.8,55.17,-118.8,1592940487
shimoda,JP,64.994,95,100,6.65,34.67,138.95,1592940535
alekseyevsk,RU,55.885999999999996,71,0,1.26,57.84,108.35,1592940535
lakatoro,VU,73.4,100,75,2.78,-16.1,167.42,1592940535
chimore,BO,81.35600000000001,74,57,2.09,-16.98,-65.13,1592940535
uuemoisa,EE,64.94,67,7,0.45,58.94,23.59,1592940535
natal,BR,83.3,58,40,7.2,-5.79,-35.21,1592940535
prince rupert,CA,59.0,72,1,4.1,54.32,-130.32,1592940529
san andres,CO,87.8,74,75,6.7,12.58,-81.7,1592940484
aksarka,RU,46.994,61,31,1.62,66.56,67.8,1592940536
neuquen,AR,55.4,42,75,3.1,-38.95,-68.06,1592940477
chadiza,ZM,62.204,59,82,3.81,-14.07,32.44,1592940536
bosaso,SO,90.842,47,45,1.47,11.28,49.18,1592940536
shingu,JP,66.434,84,11,2.04,33.73,135.98,1592940536
tombouctou,ML,101.44399999999999,7,0,5.21,20.0,-3.0,1592940536
polson,US,78.008,53,0,0.86,47.69,-114.16,1592940536
gat,IL,71.708,65,0,3.57,31.61,34.76,1592940325
tikamgarh,IN,86.666,62,45,4.1,24.75,78.83,1592940536
north bend,US,69.206,77,1,8.7,43.41,-124.22,1592940367
leopold,AU,46.382,100,90,4.1,-38.18,144.47,1592940536
tambopata,PE,80.6,88,40,1.0,-12.73,-69.18,1592940537
corowa,AU,42.998000000000005,96,10,1.17,-36.03,146.38,1592940537
voh,NC,66.668,81,0,0.8,-20.97,164.7,1592940537
olenino,RU,59.504,78,0,1.83,56.21,33.49,1592940537
bayji,IQ,92.786,11,0,8.48,34.93,43.49,1592940537
fort dix,US,89.96000000000001,49,20,5.7,40.03,-74.62,1592940537
luderitz,NA,60.8,63,0,1.0,-26.65,15.16,1592940444
lewiston,US,76.316,78,1,4.6,44.1,-70.21,1592940269
demba,CD,72.734,43,0,0.77,-5.51,22.27,1592940537
kingaroy,AU,33.8,81,0,2.6,-26.53,151.83,1592940537
dawei,MM,78.998,85,100,0.95,14.08,98.2,1592940537
mecca,SA,91.292,20,2,3.29,21.43,39.83,1592940332
sao paulo de olivenca,BR,84.812,73,8,0.55,-3.38,-68.87,1592940538
puerto del rosario,ES,75.2,73,20,8.2,28.5,-13.86,1592940538
trujillo,PE,67.676,72,49,4.77,-8.12,-79.03,1592940538
robertsport,LR,78.656,84,99,4.5,6.75,-11.37,1592940538
smithers,CA,60.8,51,40,2.1,54.78,-127.17,1592940538
creel,MX,82.4,16,88,1.39,27.75,-107.63,1592940538
udachnyy,RU,62.6,51,12,3.0,66.42,112.4,1592940491
yaan,NG,78.62,78,100,1.32,7.38,8.57,1592940538
cap malheureux,MU,68.0,84,0,1.34,-19.98,57.61,1592939950
batemans bay,AU,53.996,75,90,5.57,-35.72,150.18,1592940382
astoria,US,72.518,60,1,5.1,46.19,-123.83,1592940538
seymchan,RU,66.56,67,6,1.05,62.88,152.43,1592940538
morondava,MG,76.388,69,10,6.89,-20.28,44.28,1592940216
longkou,CN,69.602,89,100,8.43,37.65,120.33,1592940539
dzhebariki-khaya,RU,56.372,92,5,1.77,62.22,135.8,1592940539
sept-iles,CA,70.196,60,75,4.6,50.2,-66.38,1592940377
gayeri,BF,93.866,30,60,5.0,12.65,0.49,1592940539
kismayo,SO,78.71,82,96,8.11,-0.36,42.55,1592940539
boissevain,CA,73.4,38,1,2.6,49.23,-100.06,1592940437
duliagaon,IN,76.316,95,100,1.33,27.37,95.32,1592940539
